Age,Annual Balance (Euros),Last Contact Duration (sec),Number of Contacts Performed for This Campaign,Number of Contacts Performed for Previous Campaign,Days Past Since Contacted by Last Campaign
31,22546,8,6,4,267
35,568,119,2,1,293
32,822,19,8,6,366
47,120,18,6,11,365
39,0,11,15,38,261
44,206,78,1,1,365
44,130,263,1,1,371
36,437,722,2,1,344
33,1615,178,8,3,174
49,-205,6,6,1,309
34,529,325,1,3,351
33,223,15,11,4,352
27,1028,580,1,1,329
26,619,720,1,1,352
37,241,189,1,1,371
31,179,365,1,1,351
32,13711,638,1,3,175
52,2216,161,1,8,332
32,-133,119,1,2,352
32,6145,362,1,13,287
35,-566,151,2,2,353
39,49,566,1,2,370
29,25,244,1,2,343
31,125,201,1,2,350
31,328,414,1,1,175
31,554,317,1,5,352
44,500,86,2,2,304
32,1914,532,1,1,358
38,66,51,1,7,365
36,869,102,1,1,350
43,117,73,1,1,370
56,828,214,1,1,349
26,66,451,1,3,339
31,17924,745,1,3,174
55,8180,854,2,1,360
44,275,7,5,4,367
37,720,365,6,3,36
40,270,255,2,1,345
43,62,133,1,3,300
35,3863,125,1,1,175
35,-146,279,1,1,266
35,4963,456,1,1,300
31,8781,680,1,1,177
28,373,10,9,1,344
29,6429,535,1,2,352
29,913,188,1,2,352
38,1211,498,1,1,358
53,146,149,1,1,370
50,-581,877,2,5,345
48,-407,210,2,1,352
54,1139,155,1,7,177
31,183,258,1,1,300
55,366,161,1,1,364
29,21,107,4,3,371
48,214,307,1,2,177
42,22,116,4,1,365
25,963,230,4,1,301
55,785,47,1,2,370
42,718,201,2,2,365
33,687,72,2,1,370
30,43,91,1,2,370
40,3705,23,1,1,332
30,15,524,1,2,370
46,431,157,4,1,367
60,1407,112,1,1,370
34,175,50,2,2,364
29,231,1075,1,1,14
37,5957,64,3,2,177
41,580,874,1,1,363
31,7567,287,1,2,276
51,708,391,1,1,364
26,468,221,2,1,364
47,1934,225,1,1,364
36,1825,24,1,1,346
36,-206,419,1,4,360
42,171,135,1,5,176
45,276,586,1,1,364
34,273,492,1,2,175
39,-220,282,1,2,352
33,60,74,1,2,290
33,-149,111,1,3,296
33,287,97,1,8,358
31,23,97,1,1,370
44,1342,112,2,2,370
53,261,154,2,2,336
36,1354,1723,1,2,356
52,482,162,4,1,365
42,1179,136,1,4,337
48,65,146,1,1,370
33,249,7,7,4,287
28,58,16,6,1,351
35,221,150,1,1,360
27,-330,88,1,2,353
45,87,96,1,3,360
34,28,175,1,2,358
38,89,71,1,10,360
23,650,136,1,4,367
56,-256,92,1,2,370
39,-100,159,1,2,358
35,478,107,1,2,265
47,881,143,1,2,370
46,130,106,1,1,349
32,15,226,1,1,346
25,1235,64,1,3,349
28,335,256,1,3,322
42,1563,164,2,1,364
43,2567,109,1,2,360
35,336,191,1,2,346
54,-473,239,1,2,351
55,1545,59,1,2,345
32,499,182,1,2,339
40,-79,396,1,1,370
35,222,165,5,7,177
36,-267,99,7,1,352
31,0,117,3,3,352
29,891,172,2,1,352
40,105,143,2,2,370
35,246,157,2,5,345
37,561,632,1,2,339
40,2258,115,3,2,287
57,739,172,2,1,364
31,953,479,1,2,346
43,479,293,2,2,370
38,1407,169,3,7,174
49,1039,156,2,1,178
59,5788,56,2,2,350
33,43,332,2,2,358
32,-575,24,6,9,346
33,405,99,4,1,353
29,64,444,2,3,366
50,124,367,2,19,289
37,2079,299,1,2,360
27,218,1462,2,1,352
38,1731,162,2,4,350
31,392,465,2,1,360
27,806,304,2,21,332
55,338,8,4,5,300
43,30,60,5,2,371
31,233,241,2,10,365
31,581,303,3,3,174
41,200,353,6,2,373
39,-143,93,2,7,349
47,676,204,2,3,364
54,-135,152,3,2,370
30,315,884,3,4,346
56,309,198,2,4,367
35,650,241,2,2,349
55,-219,427,2,4,364
30,303,176,2,4,365
46,24598,118,4,3,374
26,681,336,2,3,322
41,783,135,3,2,363
35,911,136,2,7,175
36,994,154,2,8,356
47,-169,172,2,1,310
40,2805,173,6,23,353
55,-288,62,4,2,352
47,355,144,3,1,366
42,343,33,7,7,365
31,2030,168,2,2,351
49,584,167,6,1,365
46,1291,142,3,17,259
48,430,340,3,8,371
39,522,225,7,2,350
38,215,115,2,2,175
42,191,382,3,1,371
29,59,100,3,2,356
52,751,165,4,5,371
36,568,140,3,2,364
35,-167,195,3,1,359
33,101,235,2,4,361
26,787,68,2,1,371
30,317,165,3,5,294
40,602,145,4,7,360
39,164,26,6,2,373
42,146,670,4,1,346
57,530,10,7,7,360
47,175,236,4,7,262
30,872,61,1,2,298
42,680,306,4,2,365
30,28,778,5,1,301
27,500,16,6,6,365
32,-538,233,1,1,353
43,28,136,1,1,176
36,577,33,1,1,298
31,0,56,1,1,176
28,511,274,1,5,319
44,36,551,1,2,371
25,541,607,1,4,344
34,176,67,1,5,368
21,-172,409,1,3,361
47,1480,144,1,1,365
41,793,123,1,1,365
51,0,60,1,7,343
34,-257,160,1,4,368
56,-40,311,1,2,368
23,3198,224,1,2,352
33,7419,21,8,29,331
33,849,128,2,5,291
57,334,169,2,2,365
26,77,619,1,4,340
35,85,213,1,1,364
31,122,49,1,1,364
39,1102,124,1,3,357
29,368,345,1,7,310
40,192,16,8,5,351
38,4312,67,4,6,175
60,174,241,1,1,364
42,156,7,4,5,371
57,179,67,1,2,368
34,11350,153,1,1,176
33,1996,72,2,1,178
37,-59,169,1,1,352
34,4782,160,1,1,277
33,1156,612,1,2,177
37,222,7,6,1,357
32,388,58,1,2,266
28,769,153,1,2,371
50,226,98,1,5,330
35,712,192,1,3,347
24,145,520,1,1,345
31,290,148,1,3,291
33,217,132,5,5,304
27,484,210,1,2,361
43,-1,51,1,2,311
36,391,185,1,8,350
31,178,415,1,5,360
31,699,282,4,4,277
47,1474,77,1,3,368
30,-228,101,1,1,371
31,-256,272,1,5,365
33,1211,39,1,4,361
39,10,23,3,10,346
45,-497,217,1,1,176
51,94,77,1,4,297
35,534,669,1,3,312
42,-106,495,1,3,347
32,2597,233,1,1,368
28,1372,48,4,1,298
27,1531,187,1,4,367
35,1265,326,5,4,179
32,1531,58,1,5,352
37,851,151,1,1,352
31,4561,301,1,2,274
26,276,106,1,4,368
33,1138,122,2,4,343
26,641,55,1,1,368
35,705,177,1,3,361
53,210,984,1,1,368
31,685,552,1,3,329
32,-341,339,1,3,345
29,710,51,1,2,345
35,-89,75,1,1,368
56,276,301,1,1,368
27,-74,151,1,1,345
32,1987,36,2,2,176
39,3165,56,1,2,368
23,-295,411,1,2,323
29,213,174,1,1,361
28,-267,145,2,4,329
25,171,178,1,2,359
35,8903,171,1,6,175
45,900,26,1,1,340
33,-198,256,1,3,359
58,260,71,5,3,364
32,2,16,9,1,309
41,526,229,5,4,268
29,6567,792,2,1,298
25,691,333,1,2,330
34,2994,358,1,1,176
39,2139,576,4,1,371
44,167,79,2,1,373
53,50,669,1,3,337
27,311,50,1,1,352
39,680,135,1,2,361
33,142,87,1,1,368
29,722,78,1,1,359
32,6042,183,1,1,361
49,132,98,1,1,350
54,582,693,5,2,372
29,80,15,5,1,361
34,-285,192,1,3,276
28,217,238,2,1,372
39,-650,123,2,1,364
52,134,81,2,3,295
37,1175,102,1,2,333
29,339,63,3,2,354
41,6000,217,6,1,178
32,2198,463,1,4,175
30,95,220,2,1,298
39,12,500,2,2,352
41,2002,172,2,1,350
58,5431,327,3,1,374
41,2550,894,2,2,347
31,728,152,1,4,352
28,-215,188,1,3,360
50,181,119,4,3,372
33,1,67,4,3,178
41,2399,303,2,2,351
39,315,259,3,3,353
25,507,832,1,3,367
23,8627,169,1,1,346
21,66,31,1,2,330
28,372,201,3,2,294
44,-101,679,1,4,366
27,940,141,1,3,343
41,2540,82,2,1,366
48,480,830,1,2,352
40,2574,432,1,1,176
26,17,86,2,2,367
29,940,757,1,1,330
25,1919,264,1,4,351
31,-1,99,1,1,352
30,3,42,2,1,297
49,1230,167,2,3,373
31,527,98,2,1,359
29,-114,132,2,2,359
56,-458,406,4,3,296
34,390,372,2,2,371
34,2360,137,2,1,176
45,-407,320,3,2,371
59,671,57,2,3,332
52,29,223,2,1,298
29,949,109,2,1,352
57,225,22,7,12,337
36,148,1357,4,2,374
30,624,212,2,1,368
30,1395,199,2,1,354
55,841,140,9,4,372
33,2044,102,3,1,177
33,1293,245,9,2,373
44,-97,197,3,4,288
40,-1212,1259,2,18,333
45,-1621,8,2,5,346
44,532,550,2,2,340
41,90,77,2,4,347
30,-910,124,2,1,298
39,1674,12,10,1,178
54,-394,895,5,2,365
56,751,43,8,5,177
28,118,376,3,1,368
60,14,781,4,3,178
30,891,340,2,1,368
31,1803,350,8,1,360
28,-208,136,3,2,359
24,290,80,3,4,368
35,1780,306,3,9,347
45,116,16,5,1,365
32,337,51,3,1,368
29,422,69,3,2,361
33,1423,333,2,3,364
25,366,102,2,2,364
32,6248,64,3,2,371
41,30,101,4,6,291
45,72,262,2,2,352
33,5,934,2,2,368
39,11971,75,10,5,179
35,-56,162,2,3,361
34,3160,22,8,13,331
44,-234,71,3,1,347
34,-297,92,4,3,353
32,9714,1237,2,2,361
37,2120,655,3,4,175
46,-119,138,2,3,297
36,2278,200,3,1,298
41,5745,69,3,1,357
45,1378,25,5,2,372
37,625,68,4,2,359
29,252,1223,3,1,371
38,341,136,3,2,346
40,952,126,2,1,333
43,-67,137,7,1,371
27,1417,143,2,3,343
29,-219,85,3,2,368
51,297,415,4,1,375
50,358,315,3,3,367
39,-529,22,8,5,175
42,686,1326,6,3,175
28,1518,204,3,3,359
44,3684,31,5,3,179
27,3672,157,2,5,351
43,46,38,7,6,332
33,930,163,5,1,359
33,-258,158,2,2,352
33,-63,126,2,1,350
42,-378,11,7,2,330
35,205,1313,7,1,312
32,6542,1598,4,5,175
24,1690,543,3,3,350
32,91,126,2,2,356
54,1777,13,5,6,178
38,4335,157,7,1,179
40,-21,68,2,3,368
34,-303,17,5,2,355
57,1521,102,2,5,178
25,-141,113,2,2,348
29,-493,536,2,4,334
49,490,19,5,2,364
30,-28,284,2,1,371
33,523,18,5,5,360
28,2486,26,5,1,354
30,1022,97,2,1,298
38,1559,22,6,10,179
35,305,7,7,25,367
30,0,131,6,9,363
31,1447,236,3,15,178
40,2040,906,2,2,350
36,507,264,1,2,300
54,215,34,7,5,348
29,-95,164,1,1,370
36,145,450,2,2,304
31,-449,197,1,2,355
28,1636,97,1,2,355
32,477,87,6,5,178
34,3868,134,1,1,350
32,33,125,1,4,368
32,347,213,1,6,264
32,545,192,1,1,180
33,2667,57,1,3,180
43,714,16,6,28,362
32,230,442,1,8,266
32,-33,158,1,3,355
25,845,217,1,1,370
30,1450,298,1,1,355
27,54,97,1,1,370
36,1163,420,7,1,363
41,4903,155,1,2,180
33,964,97,1,3,180
33,4996,15,9,2,363
35,2490,170,1,3,180
27,-579,220,1,3,367
31,62,175,1,5,293
32,396,88,1,1,364
53,1162,185,1,1,178
43,-480,1126,1,6,350
42,961,10,6,1,354
40,285,261,1,1,178
42,429,110,1,1,370
27,565,170,2,11,346
37,-100,108,2,2,349
29,305,18,4,1,304
31,239,666,1,1,360
41,1967,115,1,1,341
27,876,268,1,1,355
36,1496,40,1,4,269
26,330,156,1,1,348
30,438,98,1,1,178
23,279,843,1,1,370
32,-489,93,1,3,180
35,1092,132,1,1,360
33,1659,133,2,6,353
27,8,398,1,2,370
31,1374,290,2,1,370
29,460,191,2,6,357
29,22171,44,1,3,355
48,-480,380,2,1,355
33,48,164,5,3,294
33,47,47,3,3,178
58,1859,277,2,5,264
33,8047,202,1,13,263
32,97,165,2,1,364
30,168,229,2,1,355
23,356,224,2,2,356
45,2353,435,7,3,74
38,49,43,1,2,367
37,117,125,3,4,350
55,0,616,1,1,370
32,92,110,1,2,315
32,3950,232,1,1,178
34,-90,20,1,1,370
47,2269,132,1,2,279
36,1015,1008,1,2,347
32,3540,213,1,1,178
27,409,276,4,2,301
29,468,37,1,3,370
29,40,105,1,2,355
30,694,599,1,4,306
45,-357,618,1,2,355
27,21,336,1,1,356
53,273,248,1,2,279
21,2764,78,2,2,354
47,536,778,2,2,336
39,471,61,4,1,362
26,154,1010,2,2,356
34,1068,46,6,2,378
34,4254,104,3,1,178
44,777,517,3,2,350
34,392,180,3,1,360
32,-454,801,5,2,355
44,429,35,3,32,349
28,1609,98,2,3,315
44,59,9,4,19,341
27,528,267,2,2,311
35,164,11,5,13,364
38,1560,9,2,3,178
30,1336,13,3,5,355
54,451,42,4,5,280
28,3,40,8,6,349
36,23,69,2,2,333
30,778,22,2,2,346
35,-292,166,2,6,272
29,219,76,2,1,356
33,139,732,2,5,291
31,-241,333,2,1,355
33,1279,239,2,3,349
29,101,295,2,4,355
29,318,1434,2,4,356
37,16,488,5,2,336
34,355,189,3,3,348
34,1657,566,2,4,356
35,181,217,4,1,301
29,1958,112,4,1,349
34,393,222,4,1,355
59,47,110,3,1,374
26,-350,80,3,3,329
43,487,54,2,4,279
38,5643,106,2,1,362
45,14,8,9,5,353
36,90,50,2,1,360
48,5306,66,2,1,368
47,57,72,3,4,369
29,596,172,2,6,346
34,463,11,11,4,360
26,172,410,3,3,354
34,118,53,4,2,262
39,6,122,3,4,357
31,-98,9,3,7,362
31,500,184,2,2,350
27,1842,687,2,1,300
40,592,80,3,2,350
47,-121,167,4,4,314
49,1150,126,2,1,355
40,198,214,5,8,364
46,116,267,4,3,341
38,-242,1173,3,6,278
29,79,27,4,2,356
35,719,1359,3,3,368
38,976,32,8,3,308
29,497,642,3,6,298
46,6651,114,1,1,60
42,366,324,1,1,106
45,397,582,1,2,95
32,1625,796,1,1,109
33,81,104,1,1,186
30,877,122,2,3,108
39,2266,86,1,4,93
43,3274,680,1,1,95
37,1314,74,1,9,14
49,377,158,1,2,59
37,1543,298,1,6,10
28,5916,259,1,5,63
39,0,271,1,3,93
58,720,250,1,4,94
43,2145,271,1,3,183
39,622,181,2,1,184
54,511,264,2,3,94
26,620,223,1,1,94
44,2981,106,1,2,101
43,7702,460,1,2,95
27,3733,198,1,6,98
46,1381,115,3,1,379
42,5310,545,2,1,186
28,1532,253,1,5,107
31,554,97,3,2,103
43,733,282,1,3,187
54,258,86,1,1,88
33,2583,241,1,1,108
60,439,464,1,1,321
26,5169,397,1,2,35
36,1379,189,1,1,186
28,0,269,1,2,40
56,281,185,1,2,83
30,156,157,4,5,363
24,167,288,1,2,96
38,93,74,1,4,272
30,1165,205,1,2,35
31,8626,159,1,1,111
37,900,116,1,3,18
39,246,217,1,8,306
38,755,531,1,1,97
33,369,115,2,1,103
36,911,117,2,3,21
31,863,166,3,6,111
29,238,344,2,1,88
54,1561,352,3,2,186
32,705,414,2,4,35
27,11862,281,5,1,101
33,109,601,2,7,10
40,-310,133,2,5,363
48,5689,527,2,1,103
32,937,61,1,1,190
24,1179,78,1,1,105
40,363,135,1,2,104
24,23878,133,1,1,97
35,142,293,2,3,19
42,1066,125,1,3,104
32,2340,94,1,2,97
30,411,111,1,1,35
36,753,71,5,4,40
31,816,302,1,1,40
51,1443,574,1,10,97
33,1778,134,1,1,103
35,8029,167,1,4,285
58,2714,165,1,2,287
60,4,400,3,2,358
35,1693,58,1,1,105
26,2170,81,1,1,29
43,228,55,1,1,113
24,146,147,1,1,40
36,15485,83,1,1,42
31,180,222,1,2,70
52,195,145,1,2,98
43,36,118,1,2,102
28,805,69,1,1,99
59,1831,245,2,2,98
57,350,132,6,3,112
34,0,141,1,1,188
32,4089,114,7,3,287
29,1135,407,2,1,98
36,635,80,1,1,102
36,144,87,1,2,308
28,6551,362,1,1,77
60,3461,94,2,2,112
60,1574,189,2,1,349
32,312,208,2,2,98
29,15459,245,3,7,97
47,2232,439,1,1,103
37,1967,242,1,1,212
51,2337,133,2,5,41
26,2509,776,3,3,97
30,1027,136,2,1,114
60,2063,95,1,2,99
32,10287,281,4,1,188
30,5359,119,1,1,98
43,1336,82,2,1,309
38,2442,161,1,3,100
21,2265,156,4,2,99
25,760,223,3,2,89
55,1872,76,3,5,103
28,1109,89,4,5,310
30,48,144,2,1,187
52,196,99,2,1,99
43,132,187,2,1,71
26,2506,210,2,1,100
58,3382,294,2,2,309
36,953,77,1,1,100
25,7103,188,3,1,10
55,602,324,3,2,90
26,1274,190,1,1,84
49,1808,205,1,1,95
41,2611,129,1,2,314
60,1740,814,1,2,80
46,4629,67,1,1,41
45,2552,69,1,7,293
25,1116,119,1,5,20
58,2764,459,1,1,196
42,707,233,1,1,348
47,293,251,1,1,90
55,0,106,1,1,91
52,0,144,1,1,83
37,1352,93,1,1,347
60,261,128,1,1,192
57,1292,151,1,1,69
35,671,128,1,1,83
49,493,161,1,1,39
54,0,174,1,2,81
53,2851,89,1,1,119
42,0,450,1,1,196
36,202,206,1,1,192
47,2351,163,2,1,84
29,92,101,1,5,92
32,6981,154,1,3,194
36,688,126,1,1,120
53,2240,282,2,1,385
48,238,118,2,1,81
26,313,199,1,2,96
45,1788,177,2,2,301
40,0,297,1,3,28
47,1147,654,1,1,95
41,280,88,1,2,95
38,1988,103,1,4,67
49,1807,225,1,1,82
39,782,162,2,15,28
56,935,136,1,3,96
42,1376,271,2,4,92
45,273,163,1,2,95
49,523,712,1,3,60
27,15161,74,1,1,120
38,5115,318,1,7,95
49,7019,263,1,3,368
26,96,696,1,2,27
32,625,352,1,2,56
34,4447,159,1,2,84
32,530,118,1,1,60
45,10768,147,3,2,78
28,4987,924,2,21,113
35,5367,80,1,1,92
49,5887,181,3,2,293
34,21,269,1,2,92
35,2823,102,4,2,96
54,446,122,2,8,91
29,23,163,1,2,55
34,978,262,2,1,71
32,409,115,2,2,86
42,2913,705,1,1,195
41,140,96,1,2,125
39,794,116,2,1,121
29,637,340,1,1,119
26,1231,385,2,5,96
33,1268,2219,1,2,28
32,3154,126,1,4,44
38,1442,113,1,1,119
50,268,74,2,2,90
46,4367,65,1,1,96
28,3623,138,2,1,85
58,2261,1361,1,1,391
37,6384,254,1,2,96
42,576,447,2,1,96
44,423,136,6,5,83
26,2786,300,2,1,72
39,201,699,1,1,119
40,694,431,2,9,119
56,1947,124,1,2,34
43,3917,725,2,1,93
33,781,266,1,1,27
38,7255,78,2,2,44
35,52,328,2,4,94
42,2665,280,2,11,126
37,1045,106,1,3,79
33,506,176,1,2,91
33,154,111,2,2,78
41,0,352,2,2,122
26,523,221,1,1,126
43,2987,156,1,3,85
38,1130,96,2,1,98
38,1190,81,2,3,391
41,3426,102,2,3,297
31,447,327,3,3,77
35,563,147,1,3,119
37,549,217,2,1,94
31,617,1161,1,2,97
34,2918,246,1,2,196
34,303,282,3,3,126
29,261,66,1,19,79
27,827,73,1,1,107
40,985,592,3,8,50
46,974,174,2,1,80
28,171,324,1,1,87
35,1085,199,1,7,86
34,88,206,1,1,99
25,42,149,1,1,94
24,1004,133,1,2,67
34,215,329,1,3,94
38,1187,76,2,1,123
31,924,207,2,1,98
35,697,57,2,1,304
29,5763,271,2,2,92
57,256,304,2,1,91
22,682,126,2,1,91
37,0,257,2,1,97
50,388,152,2,2,89
46,3434,148,2,1,101
38,1354,127,3,2,130
28,1363,431,3,1,102
32,8866,234,2,2,83
43,3780,67,2,3,202
36,3407,993,4,4,85
41,254,183,2,2,294
37,3,105,4,6,318
24,1506,239,2,4,95
30,601,80,3,1,105
60,544,95,7,2,357
29,858,234,7,1,330
30,523,136,3,1,101
33,1390,92,2,2,312
33,3335,92,1,6,301
59,259,415,1,1,89
26,1595,155,1,1,105
37,1000,322,1,1,90
35,2015,60,1,1,390
39,1048,108,1,1,32
30,2,102,1,1,85
48,1981,404,3,5,92
32,640,49,2,1,134
59,3735,243,3,6,91
37,26,151,7,4,62
42,6526,133,2,3,399
34,2374,270,2,2,314
42,1539,63,5,2,211
49,7443,293,5,2,211
59,185,177,5,1,138
55,9329,136,1,1,95
30,2326,67,1,1,108
83,425,883,1,1,140
61,997,269,1,1,104
73,448,68,1,1,90
26,771,113,1,1,109
58,111,39,1,2,90
37,2061,459,1,3,109
19,1803,124,1,1,105
48,0,248,1,1,89
52,0,122,1,1,64
33,6281,1057,1,4,393
72,132,260,2,1,65
45,1823,97,1,2,377
51,1801,82,1,3,77
50,405,146,1,6,91
40,2763,566,1,2,395
42,2959,711,1,1,342
37,22856,154,1,1,388
60,263,317,1,2,330
30,1101,590,1,3,225
28,12956,940,1,3,399
39,19,503,2,5,147
31,625,135,2,3,49
30,330,264,1,1,80
34,0,122,1,1,72
31,873,147,2,4,233
40,35,318,4,3,317
47,4879,96,3,3,340
33,1160,139,1,2,391
34,-74,98,2,4,347
48,2892,407,1,1,385
53,1958,82,2,4,75
69,473,112,1,1,78
37,981,682,2,1,386
36,4,529,1,3,61
38,7005,370,1,1,412
55,865,105,1,2,82
31,202,167,1,1,62
31,307,361,1,2,229
38,0,341,1,1,385
42,406,194,1,2,391
29,1599,115,1,1,61
58,1227,625,1,1,156
34,980,243,1,3,348
26,10086,475,3,2,78
32,1017,166,7,1,163
37,3913,57,2,1,80
34,144,213,3,16,89
44,323,332,2,2,181
42,11008,822,6,1,405
34,603,51,4,1,434
50,769,72,2,4,363
49,0,67,5,1,252
44,1646,292,6,1,251
37,115,236,1,4,92
46,526,326,1,3,96
25,219,576,1,1,96
29,451,152,1,2,92
47,1167,505,1,6,96
62,3340,259,1,1,35
40,1646,173,1,5,92
46,242,120,2,1,96
31,40,158,1,2,104
47,699,432,3,2,97
55,2383,1019,2,2,63
30,2666,475,2,4,93
53,1356,397,2,2,93
48,1147,389,1,2,64
41,2487,206,1,1,97
47,86,253,1,4,97
25,41,100,2,2,93
20,292,385,2,1,93
47,3940,226,3,2,97
37,1291,150,1,2,97
36,495,157,3,2,97
45,6945,131,5,3,356
53,1624,107,1,6,98
50,938,148,2,1,98
65,1176,111,1,1,184
32,6857,85,1,1,185
40,0,131,2,6,98
53,0,1452,1,2,98
65,162,280,3,2,185
46,4693,79,1,2,394
59,0,107,2,1,63
47,201,58,2,1,382
30,776,72,1,2,99
41,1536,273,1,2,95
59,1116,149,2,1,99
37,96,155,1,2,99
32,4041,325,1,2,99
57,2476,239,1,1,459
32,697,119,1,3,99
34,0,262,1,2,99
49,305,140,1,1,99
42,3403,215,1,1,99
58,687,221,1,2,99
47,677,384,1,4,99
33,1076,88,1,4,259
35,2971,158,2,6,95
41,2226,182,2,1,99
23,0,217,1,7,99
33,5437,131,1,2,98
39,172,248,1,1,131
42,11115,187,1,1,102
33,22867,73,1,2,440
32,935,161,2,5,375
59,1425,489,2,1,102
38,47,120,1,5,98
48,1730,158,1,1,102
59,3444,252,1,2,185
28,1984,89,1,3,98
46,4855,1529,1,1,397
32,1815,235,1,2,102
33,95,155,1,1,102
40,1508,153,2,1,383
52,618,352,2,2,102
40,694,107,4,11,68
26,1608,89,2,2,102
30,805,134,3,1,194
62,3738,151,3,1,185
55,1693,247,1,3,102
33,218,162,1,4,161
31,10884,294,3,2,98
26,2,121,1,2,102
30,697,179,3,2,102
45,3857,425,2,1,190
83,6236,155,1,2,190
34,2427,90,3,3,70
71,13297,265,1,2,190
42,201,265,1,3,103
34,-32,89,3,2,103
24,2376,123,1,1,106
33,73,156,1,2,263
42,1559,155,1,1,103
42,94,176,2,4,90
20,130,88,1,3,99
28,5916,344,1,6,81
40,1108,170,2,1,112
57,589,167,1,5,190
31,199,127,2,4,461
30,533,229,2,4,99
60,6573,75,1,1,274
61,2557,139,3,1,190
31,620,153,1,2,103
42,994,149,1,5,78
26,96,349,1,3,70
33,661,108,1,7,99
40,100,221,1,1,461
29,238,97,1,3,78
45,1435,201,1,1,103
55,1199,91,1,10,99
39,260,175,2,2,116
55,357,526,1,1,103
58,1013,206,1,1,461
42,437,120,3,1,190
32,60,248,2,1,462
33,312,271,1,3,369
32,3283,623,2,2,191
37,393,62,2,2,104
44,1070,137,2,3,104
31,181,182,1,1,104
32,484,668,2,1,463
24,474,249,1,1,104
28,0,150,1,3,79
36,3850,239,2,4,100
59,182,90,1,2,104
38,245,251,2,4,117
35,11219,699,2,1,79
41,27696,147,2,1,104
59,116,398,4,3,422
53,341,90,2,2,104
47,2408,236,1,1,104
61,2,131,1,3,114
32,1331,93,1,4,104
37,3954,87,1,2,117
34,256,201,2,1,267
34,48,810,3,6,93
35,2088,94,1,3,51
32,386,305,3,1,104
55,113,306,1,3,457
69,324,875,1,4,189
33,498,338,2,1,104
49,5802,175,3,2,104
32,354,363,1,3,104
43,2643,188,3,5,100
33,4401,96,2,1,104
46,0,107,1,3,104
44,163,44,1,3,100
49,905,90,1,1,68
34,1337,255,2,1,104
25,2305,222,2,2,104
44,1818,120,1,1,104
46,1040,542,1,5,78
31,1812,112,1,1,104
30,1159,95,1,1,68
32,3271,162,1,3,100
35,618,293,1,1,104
32,1246,68,1,3,104
38,0,255,2,1,105
47,4,73,2,6,105
32,696,101,4,4,105
38,1165,784,3,10,94
32,1388,102,1,1,105
32,5,200,1,1,127
40,99,220,2,2,364
31,35,315,2,1,105
29,314,485,3,1,105
50,3169,399,1,1,430
67,0,1152,2,1,188
26,611,138,2,3,69
37,24,136,1,2,105
56,616,293,2,2,105
76,3324,227,2,1,192
24,382,103,1,2,105
42,3371,284,1,2,92
33,920,111,1,1,105
29,30,83,1,1,105
28,113,204,3,1,105
27,4590,75,1,2,442
35,1368,159,2,3,78
48,1559,344,1,2,190
34,882,135,1,5,113
36,994,185,2,3,105
26,-67,143,1,1,90
30,305,75,1,3,105
56,9367,320,2,2,101
50,0,43,1,2,105
30,499,92,2,1,90
45,2067,393,2,1,462
34,1228,99,2,10,105
30,877,202,1,5,83
33,5164,238,2,1,265
49,1,640,2,4,101
33,1737,228,2,2,106
58,1227,182,2,2,37
59,2026,185,3,1,73
68,2301,90,3,1,120
57,169,180,1,2,106
29,486,151,1,1,106
43,775,98,1,1,106
26,255,209,2,2,106
54,1778,319,1,2,268
33,263,257,1,2,102
47,926,436,1,5,403
58,5701,92,3,2,106
26,777,260,2,1,463
37,332,190,2,7,84
38,902,108,1,4,102
37,444,137,1,5,102
60,209,391,3,1,106
44,226,190,3,3,270
32,12607,203,5,1,84
33,1974,498,2,1,191
36,1228,153,2,3,102
41,220,142,2,2,88
54,0,159,2,6,106
39,11766,313,4,5,102
35,1577,80,1,1,273
32,8023,219,1,2,84
42,-306,308,1,1,459
25,1179,43,1,2,83
26,0,237,1,2,82
45,982,123,2,3,454
35,431,343,2,1,397
36,953,80,1,2,81
67,696,119,1,2,105
62,1495,606,1,1,196
26,828,156,1,1,199
26,2506,134,1,3,82
52,583,61,1,1,84
58,883,543,1,2,78
37,3794,147,1,1,379
22,948,215,1,2,197
30,48,161,1,1,173
35,3751,210,2,2,124
34,0,148,1,2,84
55,1938,193,1,3,386
49,9131,532,1,5,461
69,1080,197,2,2,118
57,1458,250,1,5,107
43,132,574,1,3,84
63,1612,399,2,2,183
35,2658,768,2,3,141
30,5359,145,1,2,84
39,139,328,1,1,79
34,4859,262,2,2,112
59,2239,377,6,1,90
27,11862,217,1,6,87
28,1925,147,1,1,90
24,228,99,1,1,79
34,1406,63,2,1,85
42,5310,273,1,3,90
60,106,216,3,1,91
60,2063,54,5,3,86
39,18,102,1,1,91
52,363,168,1,1,462
31,1251,282,1,5,197
34,10,90,1,1,91
37,1314,200,1,10,91
50,3370,531,2,2,80
27,5741,72,1,1,88
43,733,126,1,4,88
27,377,171,3,1,91
53,-309,343,2,2,428
28,3733,419,5,7,91
28,61,744,1,3,109
59,1047,438,1,3,184
71,2651,73,3,2,200
29,265,130,2,1,94
70,2346,190,3,2,194
39,116,79,2,2,94
42,16517,497,2,2,279
51,2337,46,4,7,90
40,0,79,2,4,95
35,1810,52,2,2,92
37,106,511,1,13,392
37,127,192,1,1,193
33,369,83,1,3,92
34,1281,279,1,1,117
36,506,47,1,1,120
36,255,242,6,4,95
43,2145,291,2,4,95
