Age Group,Type of Job,Marital Status,Education Level,Credit in Default,Annual Balance (Euros),Loan (Housing / Personal),Last Contact Duration (sec),Contacts Performed (current),Contacts Performed (previous),Month Since Last Contacted,Previous Outcomes,Predicted Subscription (current)
26 - 35,admin.,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,7 - 9,1 - 10,6 months,success,no
36 - 45,technician,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
46 - 55,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,blue-collar,married,primary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,primary,no,Negative Balances,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
66 - 75,retired,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
56 - 65,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,unemployed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,unemployed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,services,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
66 - 75,retired,married,primary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,technician,married,tertiary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,unemployed,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,blue-collar,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,technician,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,18 months,failure,yes
76 - 85,retired,married,unknown,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,admin.,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
66 - 75,retired,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,self-employed,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
56 - 65,housemaid,married,secondary,no,Negative Balances,--,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
66 - 75,retired,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
46 - 55,management,divorced,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,student,single,tertiary,no,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,12 months,success,yes
46 - 55,admin.,divorced,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
36 - 45,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,admin.,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,technician,single,tertiary,no,0 - 10k,HP,0 - 1 hours,4 - 6,11 - 20,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,12 months,success,no
26 - 35,unemployed,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
16 - 25,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
76 - 85,retired,married,secondary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
36 - 45,technician,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,housemaid,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
76 - 85,retired,married,tertiary,no,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,18 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,management,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
76 - 85,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,student,single,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,admin.,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
36 - 45,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,housemaid,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,tertiary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,admin.,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
76 - 85,retired,divorced,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
66 - 75,retired,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,technician,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,student,single,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,admin.,married,unknown,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,no
16 - 25,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,18 months,failure,yes
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
76 - 85,retired,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,admin.,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,student,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,entrepreneur,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
56 - 65,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,18 months,success,no
36 - 45,technician,single,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,admin.,single,secondary,no,Negative Balances,-P,0 - 1 hours,4 - 6,1 - 10,12 months,failure,yes
36 - 45,blue-collar,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,admin.,married,secondary,no,10k - 20k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,secondary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,12 months,failure,yes
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
46 - 55,unemployed,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,11 - 20,6 months,success,yes
26 - 35,management,married,tertiary,no,20k - 30k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,services,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
46 - 55,technician,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
36 - 45,admin.,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,retired,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
56 - 65,technician,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,unemployed,divorced,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,technician,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,management,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,technician,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
66 - 75,retired,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,unknown,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,student,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,unemployed,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
76 - 85,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,housemaid,married,primary,no,0 - 10k,HP,0 - 1 hours,7 - 9,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
76 - 85,retired,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
66 - 75,blue-collar,married,secondary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
56 - 65,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,self-employed,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
36 - 45,technician,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
56 - 65,retired,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,married,primary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,6 months,success,yes
66 - 75,retired,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,technician,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,technician,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,management,single,tertiary,no,10k - 20k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,10 - 12,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,20k - 30k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
36 - 45,blue-collar,divorced,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,no
46 - 55,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
16 - 25,student,single,secondary,no,0 - 10k,--,1 - 2 hours,4 - 6,1 - 10,6 months,success,yes
46 - 55,technician,married,secondary,no,10k - 20k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,technician,single,tertiary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,services,married,secondary,no,0 - 10k,--,5 - 6 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,unemployed,married,secondary,no,0 - 10k,--,1 - 2 hours,4 - 6,1 - 10,12 months,success,yes
46 - 55,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,24 months,failure,yes
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,success,yes
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,technician,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,success,yes
46 - 55,unemployed,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,unemployed,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,admin.,single,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,success,no
16 - 25,student,single,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
76 - 85,retired,married,primary,no,0 - 10k,--,0 - 1 hours,4 - 6,11 - 20,6 months,success,no
56 - 65,self-employed,divorced,tertiary,no,50k - 60k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,blue-collar,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
46 - 55,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,management,married,tertiary,no,0 - 10k,--,3 - 4 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,technician,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
56 - 65,management,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,married,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,24 months,success,yes
26 - 35,management,single,tertiary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,24 months,success,yes
66 - 75,retired,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
16 - 25,self-employed,single,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,18 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,24 months,failure,yes
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,24 months,success,yes
56 - 65,self-employed,married,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,success,yes
46 - 55,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,management,married,tertiary,no,Negative Balances,-P,0 - 1 hours,4 - 6,1 - 10,12 months,success,yes
56 - 65,retired,married,primary,no,10k - 20k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,student,single,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,student,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,unemployed,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,retired,divorced,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,management,single,unknown,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,management,married,secondary,no,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
76 - 85,housemaid,married,primary,no,Negative Balances,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
26 - 35,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,housemaid,married,tertiary,no,10k - 20k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,unemployed,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,self-employed,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,management,single,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
26 - 35,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,18 months,failure,yes
36 - 45,self-employed,married,tertiary,no,10k - 20k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
16 - 25,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
46 - 55,housemaid,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,admin.,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
66 - 75,retired,married,primary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,technician,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,student,single,secondary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,no
76 - 85,retired,married,primary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,admin.,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
66 - 75,entrepreneur,married,tertiary,no,10k - 20k,--,2 - 3 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,retired,married,unknown,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
26 - 35,technician,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,management,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
56 - 65,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,18 months,success,yes
56 - 65,technician,married,secondary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,18 months,failure,yes
16 - 25,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
66 - 75,management,married,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
66 - 75,management,married,secondary,no,0 - 10k,--,1 - 2 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,technician,married,secondary,no,0 - 10k,--,2 - 3 hours,1 - 3,1 - 10,12 months,success,yes
66 - 75,retired,divorced,secondary,no,Negative Balances,--,2 - 3 hours,1 - 3,1 - 10,6 months,success,yes
26 - 35,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
56 - 65,technician,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
46 - 55,admin.,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,management,single,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
66 - 75,retired,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
46 - 55,technician,married,secondary,no,0 - 10k,-P,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,housemaid,married,primary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,unemployed,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,24 months,failure,no
56 - 65,management,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,success,yes
26 - 35,blue-collar,single,secondary,no,Negative Balances,H-,1 - 2 hours,1 - 3,11 - 20,6 months,failure,yes
26 - 35,admin.,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
56 - 65,retired,married,primary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,unemployed,single,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
16 - 25,student,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,student,single,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
26 - 35,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
66 - 75,retired,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,yes
