Type of Job,Marital Status,Education Level,Credit in Default,Loan (Housing loan / Personal loan),Outcomes for Previous Marketing Campaign,Predicted Subscription for Current Campaign
technician,married,tertiary,no,HP,failure,no
admin.,single,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,success,no
admin.,married,secondary,no,H-,failure,no
admin.,divorced,secondary,no,--,failure,no
admin.,married,secondary,no,H-,failure,no
management,divorced,tertiary,no,--,failure,no
blue-collar,married,secondary,no,H-,failure,no
technician,single,tertiary,no,H-,failure,no
admin.,married,secondary,no,H-,success,no
management,married,tertiary,no,H-,failure,no
technician,single,secondary,no,H-,failure,no
admin.,divorced,secondary,no,H-,success,no
services,divorced,secondary,no,H-,success,no
blue-collar,divorced,primary,no,H-,failure,no
retired,divorced,tertiary,no,--,success,yes
admin.,single,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,success,no
blue-collar,single,unknown,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
housemaid,single,secondary,no,H-,success,yes
admin.,married,secondary,no,H-,failure,no
blue-collar,single,primary,no,H-,success,no
technician,single,secondary,no,H-,failure,no
services,single,secondary,no,H-,failure,no
blue-collar,single,unknown,no,HP,success,no
technician,divorced,secondary,no,HP,failure,yes
technician,divorced,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
student,single,tertiary,no,H-,failure,no
technician,married,secondary,no,H-,success,no
services,single,primary,no,H-,failure,no
blue-collar,single,secondary,no,H-,failure,no
entrepreneur,single,tertiary,no,H-,failure,no
admin.,single,tertiary,no,H-,success,no
admin.,divorced,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
blue-collar,married,primary,no,HP,failure,yes
admin.,married,secondary,no,HP,failure,no
management,single,secondary,no,H-,failure,no
technician,single,secondary,no,H-,failure,no
admin.,single,primary,no,HP,failure,no
blue-collar,divorced,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,no
services,divorced,secondary,no,H-,failure,no
retired,divorced,secondary,no,-P,failure,no
technician,single,secondary,no,--,failure,no
technician,single,secondary,no,H-,failure,no
technician,single,secondary,no,H-,failure,no
management,single,tertiary,no,H-,failure,no
entrepreneur,single,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,HP,failure,yes
technician,single,tertiary,no,H-,failure,no
technician,single,secondary,no,H-,success,no
blue-collar,divorced,unknown,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
admin.,single,secondary,no,--,failure,no
blue-collar,married,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
admin.,married,secondary,no,H-,failure,no
retired,divorced,primary,no,H-,failure,no
blue-collar,single,secondary,no,H-,failure,no
self-employed,married,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
admin.,married,secondary,no,-P,failure,no
blue-collar,single,primary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
blue-collar,single,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
entrepreneur,married,primary,no,H-,failure,no
unemployed,single,secondary,no,H-,failure,no
technician,single,secondary,no,HP,failure,no
blue-collar,married,primary,no,H-,failure,no
admin.,married,secondary,no,HP,failure,no
admin.,single,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
services,married,primary,no,H-,failure,no
technician,single,secondary,no,H-,success,yes
blue-collar,married,primary,no,H-,failure,no
services,single,secondary,no,H-,failure,yes
technician,married,secondary,no,H-,success,no
unemployed,single,tertiary,no,H-,success,yes
management,single,tertiary,no,--,failure,no
blue-collar,married,secondary,no,H-,failure,yes
admin.,divorced,secondary,no,HP,success,yes
technician,single,tertiary,no,--,failure,yes
management,married,tertiary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
technician,married,secondary,no,--,success,no
unemployed,single,unknown,no,H-,failure,no
admin.,married,secondary,no,H-,failure,no
unemployed,married,tertiary,no,--,failure,no
services,married,secondary,no,H-,failure,yes
student,single,secondary,no,--,failure,no
management,single,tertiary,no,H-,success,yes
retired,divorced,primary,no,--,success,no
services,married,secondary,no,--,failure,yes
management,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
student,single,secondary,no,--,success,yes
technician,married,secondary,no,HP,failure,no
management,divorced,unknown,no,--,success,yes
student,single,tertiary,no,H-,success,yes
services,married,secondary,no,H-,failure,no
management,married,primary,no,H-,success,yes
technician,single,secondary,no,--,failure,no
admin.,single,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,success,yes
blue-collar,married,primary,no,--,failure,no
technician,single,secondary,no,--,failure,no
retired,divorced,tertiary,no,-P,failure,yes
student,single,tertiary,no,H-,failure,yes
management,single,tertiary,no,--,failure,yes
technician,single,tertiary,no,H-,failure,yes
retired,married,tertiary,no,--,success,no
technician,single,secondary,no,H-,failure,no
blue-collar,single,secondary,no,-P,success,yes
management,married,tertiary,no,H-,failure,no
admin.,married,secondary,no,--,failure,no
admin.,single,secondary,no,--,failure,no
management,married,tertiary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
admin.,married,secondary,no,H-,success,no
management,married,secondary,no,--,success,no
technician,married,tertiary,no,HP,failure,yes
technician,single,secondary,no,H-,failure,no
admin.,married,tertiary,no,--,failure,yes
unemployed,married,secondary,no,--,failure,yes
technician,single,tertiary,no,H-,failure,yes
technician,single,tertiary,no,--,success,no
technician,single,tertiary,no,HP,failure,yes
blue-collar,married,primary,no,HP,failure,no
management,single,tertiary,no,--,success,no
management,married,tertiary,no,--,failure,no
self-employed,single,unknown,no,--,failure,no
management,married,secondary,no,HP,failure,no
student,single,secondary,no,--,success,yes
blue-collar,single,secondary,no,H-,failure,no
technician,married,secondary,no,--,success,no
technician,single,tertiary,no,--,success,no
technician,single,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
management,single,tertiary,no,H-,failure,no
entrepreneur,married,primary,no,--,success,no
management,married,tertiary,no,--,success,no
technician,married,tertiary,no,H-,success,no
retired,married,secondary,no,--,failure,yes
retired,divorced,tertiary,no,H-,failure,no
technician,single,secondary,no,H-,success,no
admin.,single,tertiary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
student,married,unknown,no,--,failure,no
technician,married,secondary,no,--,success,no
technician,married,secondary,no,--,success,no
technician,married,secondary,no,H-,failure,no
management,divorced,tertiary,no,--,failure,no
self-employed,single,tertiary,no,--,success,no
management,married,tertiary,no,--,failure,no
self-employed,married,tertiary,no,--,failure,no
housemaid,married,tertiary,no,--,failure,no
technician,married,tertiary,no,--,failure,no
services,married,secondary,no,H-,success,no
admin.,single,tertiary,no,--,failure,no
technician,single,secondary,no,--,failure,no
technician,single,secondary,no,--,failure,no
retired,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
management,single,tertiary,no,--,success,yes
management,single,tertiary,no,--,success,no
admin.,divorced,secondary,no,--,success,yes
admin.,married,secondary,no,--,success,yes
housemaid,married,unknown,no,H-,success,no
admin.,single,secondary,no,--,success,yes
admin.,single,secondary,no,H-,success,no
housemaid,divorced,secondary,no,--,failure,no
blue-collar,married,secondary,no,H-,failure,yes
management,single,tertiary,no,--,success,yes
management,married,tertiary,no,HP,failure,no
technician,single,secondary,no,--,success,no
blue-collar,single,secondary,no,--,success,no
admin.,single,tertiary,no,H-,failure,yes
admin.,divorced,secondary,no,--,success,no
management,married,tertiary,no,H-,failure,no
self-employed,single,tertiary,no,--,failure,no
technician,married,secondary,no,HP,success,no
admin.,married,secondary,no,--,success,yes
management,single,tertiary,no,--,success,no
retired,married,secondary,no,-P,failure,no
admin.,married,secondary,no,H-,failure,no
technician,single,secondary,no,H-,failure,yes
admin.,married,secondary,no,--,success,yes
management,single,tertiary,no,H-,failure,no
management,married,tertiary,no,H-,success,yes
technician,divorced,tertiary,no,H-,failure,no
technician,married,secondary,no,--,success,no
management,divorced,tertiary,no,--,failure,no
admin.,married,tertiary,no,--,failure,yes
student,single,secondary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
entrepreneur,married,secondary,no,--,success,no
technician,married,secondary,no,--,success,yes
technician,married,secondary,no,HP,success,no
technician,married,secondary,no,H-,failure,no
management,married,tertiary,no,--,success,no
management,married,tertiary,no,HP,failure,no
retired,married,tertiary,no,--,failure,no
management,single,tertiary,no,H-,success,no
management,single,tertiary,no,--,failure,no
services,divorced,secondary,no,--,success,yes
admin.,married,secondary,no,-P,failure,no
management,divorced,tertiary,no,--,failure,no
technician,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,success,yes
management,single,tertiary,no,--,success,no
admin.,single,secondary,no,H-,failure,no
management,single,tertiary,no,--,failure,no
management,married,unknown,no,H-,success,yes
blue-collar,married,secondary,no,HP,success,no
admin.,single,tertiary,no,-P,success,yes
management,married,tertiary,no,--,failure,no
services,married,secondary,no,H-,failure,no
management,married,tertiary,no,--,failure,yes
management,married,secondary,no,H-,success,no
admin.,married,tertiary,no,--,success,yes
technician,divorced,tertiary,no,H-,success,no
admin.,single,secondary,no,H-,failure,no
services,divorced,secondary,no,--,failure,no
services,married,secondary,no,H-,success,yes
management,married,tertiary,no,H-,failure,no
technician,married,tertiary,no,H-,failure,yes
technician,single,tertiary,no,--,success,yes
technician,married,secondary,no,H-,success,yes
services,married,secondary,no,H-,failure,yes
admin.,single,secondary,no,--,failure,no
management,married,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,no
management,divorced,tertiary,no,H-,failure,no
technician,divorced,tertiary,no,H-,failure,no
technician,single,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,yes
admin.,married,tertiary,no,-P,failure,no
technician,divorced,secondary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
technician,married,secondary,no,H-,failure,yes
unemployed,married,secondary,no,--,success,yes
self-employed,married,secondary,no,--,success,yes
blue-collar,married,secondary,no,--,failure,yes
blue-collar,married,secondary,no,H-,failure,no
technician,married,tertiary,no,--,failure,no
management,single,tertiary,no,H-,failure,yes
technician,single,secondary,no,H-,success,yes
services,single,tertiary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
technician,married,secondary,no,H-,failure,no
management,married,secondary,no,--,failure,no
technician,single,secondary,no,H-,failure,no
technician,single,tertiary,no,--,success,no
management,married,tertiary,no,H-,failure,no
technician,married,secondary,no,HP,failure,no
unemployed,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,success,no
management,single,tertiary,no,--,success,yes
unemployed,married,tertiary,no,--,failure,yes
technician,married,secondary,no,H-,failure,yes
retired,married,primary,no,--,failure,no
blue-collar,married,primary,no,--,success,yes
technician,single,secondary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
services,married,secondary,no,H-,success,yes
management,married,tertiary,no,H-,failure,yes
services,single,secondary,no,--,success,no
management,single,tertiary,no,--,success,no
technician,single,tertiary,no,--,failure,no
services,married,secondary,no,HP,failure,yes
technician,married,secondary,no,--,failure,no
management,married,tertiary,no,--,failure,yes
technician,single,secondary,no,--,success,yes
entrepreneur,divorced,secondary,no,H-,failure,yes
management,divorced,tertiary,no,--,failure,yes
services,married,secondary,no,--,success,yes
blue-collar,married,secondary,no,-P,failure,yes
technician,married,tertiary,no,--,success,no
management,single,tertiary,no,--,success,yes
services,married,secondary,no,-P,success,yes
admin.,single,secondary,no,--,failure,yes
admin.,single,tertiary,no,--,failure,no
admin.,single,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,failure,yes
admin.,married,secondary,no,--,success,yes
management,single,secondary,no,--,success,yes
admin.,divorced,secondary,no,--,success,yes
services,single,tertiary,no,--,failure,no
self-employed,single,tertiary,no,H-,success,yes
management,single,tertiary,no,H-,failure,no
blue-collar,single,secondary,no,--,success,no
management,married,tertiary,no,HP,failure,no
management,single,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
technician,single,secondary,no,-P,success,no
management,married,tertiary,no,--,success,yes
blue-collar,single,secondary,no,--,success,yes
unknown,single,tertiary,no,--,success,yes
housemaid,married,secondary,no,--,success,no
technician,married,secondary,no,-P,success,yes
management,married,tertiary,no,H-,failure,no
technician,single,secondary,no,--,success,no
admin.,single,tertiary,no,--,success,yes
entrepreneur,divorced,secondary,no,H-,failure,no
entrepreneur,divorced,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,yes
services,married,secondary,no,H-,failure,no
management,single,tertiary,no,--,success,yes
technician,single,secondary,no,--,failure,no
management,married,secondary,no,--,failure,yes
technician,married,tertiary,no,H-,failure,no
admin.,single,secondary,no,-P,success,no
management,married,tertiary,no,--,failure,no
unemployed,married,tertiary,no,--,failure,no
technician,married,secondary,no,--,success,yes
admin.,married,secondary,no,--,failure,yes
admin.,single,tertiary,no,H-,success,yes
management,single,tertiary,no,--,failure,no
services,single,secondary,no,H-,failure,no
management,single,tertiary,no,--,failure,no
technician,married,secondary,no,H-,failure,no
student,single,unknown,no,--,failure,no
admin.,married,secondary,no,--,success,yes
management,married,tertiary,no,--,failure,no
management,married,secondary,no,--,failure,no
management,married,tertiary,no,HP,failure,yes
technician,married,secondary,no,--,failure,no
management,single,tertiary,no,--,failure,yes
self-employed,married,tertiary,no,--,failure,no
admin.,married,secondary,no,--,failure,no
technician,married,secondary,no,--,success,no
retired,married,primary,no,--,failure,yes
management,married,tertiary,no,--,success,yes
retired,married,tertiary,no,--,success,no
unemployed,single,secondary,no,--,failure,no
management,married,secondary,no,--,failure,no
admin.,married,secondary,no,HP,failure,yes
student,single,secondary,no,--,failure,no
admin.,divorced,secondary,no,HP,failure,no
admin.,divorced,tertiary,no,HP,failure,no
technician,single,tertiary,no,H-,success,no
self-employed,married,tertiary,no,--,success,yes
technician,divorced,unknown,no,--,failure,no
unemployed,married,tertiary,no,--,success,no
management,divorced,tertiary,no,--,failure,no
management,married,tertiary,no,H-,success,yes
entrepreneur,married,secondary,no,H-,failure,yes
management,married,primary,no,--,failure,no
retired,married,secondary,no,--,failure,no
blue-collar,married,primary,no,HP,failure,no
management,single,tertiary,no,H-,success,yes
admin.,divorced,secondary,no,H-,success,yes
blue-collar,married,secondary,no,H-,failure,yes
unemployed,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
admin.,married,secondary,no,H-,failure,no
services,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
management,single,tertiary,no,HP,failure,no
technician,married,secondary,no,H-,failure,no
management,married,secondary,no,--,success,yes
admin.,single,secondary,no,--,failure,no
retired,married,tertiary,no,--,failure,no
services,married,secondary,no,--,success,yes
management,single,tertiary,no,H-,success,no
unemployed,married,primary,no,H-,failure,yes
admin.,married,secondary,no,H-,failure,no
management,single,secondary,no,H-,failure,yes
management,single,tertiary,no,--,failure,yes
student,married,unknown,no,--,failure,yes
management,married,secondary,no,H-,success,no
technician,married,secondary,no,H-,failure,no
retired,married,secondary,no,--,failure,no
self-employed,married,tertiary,no,--,failure,no
student,single,tertiary,no,--,success,no
management,single,tertiary,no,--,failure,no
admin.,married,tertiary,no,H-,success,no
technician,single,tertiary,no,HP,failure,no
entrepreneur,single,unknown,no,--,failure,yes
management,single,tertiary,no,--,success,yes
technician,married,secondary,no,H-,failure,no
admin.,divorced,secondary,no,--,failure,no
technician,married,tertiary,no,-P,failure,no
management,married,tertiary,no,H-,failure,no
admin.,single,secondary,no,--,failure,no
self-employed,single,secondary,no,--,success,no
management,single,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
technician,married,secondary,no,H-,success,yes
retired,married,secondary,no,--,failure,no
technician,single,tertiary,no,H-,success,yes
management,married,tertiary,no,--,success,yes
admin.,single,secondary,no,--,failure,no
management,married,tertiary,no,--,success,no
management,divorced,tertiary,no,--,success,yes
self-employed,married,tertiary,no,--,success,yes
management,married,tertiary,no,H-,failure,no
management,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
management,single,tertiary,no,--,success,yes
student,single,secondary,no,H-,failure,no
student,married,unknown,no,--,failure,yes
housemaid,married,secondary,no,H-,failure,yes
unemployed,single,tertiary,no,--,success,yes
management,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,success,yes
management,married,tertiary,no,--,success,no
retired,married,secondary,no,--,failure,no
services,single,secondary,no,--,failure,no
management,married,tertiary,no,--,success,yes
admin.,divorced,secondary,no,HP,failure,yes
retired,married,tertiary,no,--,failure,no
management,married,tertiary,no,-P,failure,yes
housemaid,married,secondary,no,--,failure,no
housemaid,married,primary,no,H-,failure,no
technician,married,secondary,no,--,success,no
admin.,married,tertiary,no,--,failure,yes
retired,married,unknown,no,--,failure,no
admin.,married,secondary,no,--,success,yes
admin.,single,tertiary,no,--,success,no
services,married,secondary,no,H-,success,no
management,single,tertiary,no,--,failure,no
management,married,tertiary,no,H-,success,yes
technician,married,secondary,no,--,failure,no
services,single,secondary,no,H-,failure,yes
unemployed,married,secondary,no,H-,success,yes
unknown,married,unknown,no,--,success,no
services,married,secondary,no,--,failure,no
entrepreneur,married,secondary,no,--,success,no
management,married,tertiary,no,--,failure,yes
student,single,secondary,no,--,success,yes
management,single,tertiary,no,--,success,no
blue-collar,single,tertiary,no,H-,success,no
technician,single,unknown,no,--,success,yes
management,married,tertiary,no,H-,failure,no
management,single,tertiary,no,--,failure,yes
retired,married,tertiary,no,--,success,no
admin.,married,secondary,no,H-,success,no
blue-collar,married,secondary,no,H-,success,no
retired,divorced,tertiary,no,--,success,yes
blue-collar,single,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,no
self-employed,single,tertiary,no,--,failure,yes
admin.,married,secondary,no,H-,success,no
blue-collar,married,secondary,no,--,failure,no
housemaid,married,primary,no,HP,failure,no
technician,married,secondary,no,H-,success,no
student,single,secondary,no,--,success,no
management,married,tertiary,no,--,failure,no
retired,married,primary,no,--,failure,no
admin.,divorced,secondary,no,--,success,no
technician,married,secondary,no,HP,failure,no
management,married,tertiary,no,--,success,yes
student,single,tertiary,no,--,failure,no
management,single,tertiary,no,--,success,yes
management,married,tertiary,no,H-,failure,no
retired,married,tertiary,no,--,failure,no
self-employed,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
blue-collar,married,primary,no,H-,success,yes
admin.,single,secondary,no,-P,success,no
self-employed,single,tertiary,no,--,success,no
entrepreneur,married,unknown,no,H-,failure,no
technician,married,unknown,no,--,success,no
services,single,tertiary,no,H-,failure,yes
student,single,secondary,no,--,failure,no
student,single,secondary,no,--,failure,no
admin.,married,tertiary,no,--,success,no
technician,married,secondary,no,H-,failure,yes
management,married,tertiary,no,HP,success,no
management,single,tertiary,no,--,success,yes
technician,married,tertiary,no,H-,failure,no
retired,married,tertiary,no,H-,success,yes
services,single,tertiary,no,--,failure,no
technician,married,secondary,no,H-,failure,yes
admin.,single,secondary,no,--,failure,yes
admin.,divorced,secondary,no,H-,failure,no
admin.,single,secondary,no,H-,success,yes
admin.,married,tertiary,no,--,success,no
admin.,married,secondary,no,H-,failure,no
technician,single,secondary,no,-P,failure,no
admin.,married,secondary,no,H-,failure,yes
retired,married,tertiary,no,H-,failure,no
self-employed,married,primary,no,H-,failure,yes
admin.,married,secondary,no,H-,failure,no
blue-collar,single,tertiary,no,HP,failure,no
management,single,tertiary,no,--,failure,no
management,single,tertiary,no,--,success,yes
management,married,tertiary,no,H-,success,no
self-employed,divorced,tertiary,no,H-,success,yes
services,single,secondary,no,--,success,yes
technician,married,secondary,no,H-,success,yes
student,single,primary,no,--,success,no
technician,single,tertiary,no,H-,success,no
management,single,tertiary,no,H-,failure,yes
housemaid,married,primary,no,--,failure,no
admin.,single,secondary,no,HP,failure,no
housemaid,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,yes
technician,married,secondary,no,--,failure,yes
services,married,secondary,no,--,success,no
technician,married,tertiary,no,--,success,no
management,single,tertiary,no,--,failure,yes
management,married,tertiary,no,--,success,no
admin.,single,tertiary,no,H-,failure,no
technician,married,secondary,no,H-,failure,no
management,single,tertiary,no,H-,failure,yes
management,married,tertiary,no,H-,failure,no
services,married,secondary,no,--,failure,no
management,married,primary,no,--,failure,yes
retired,married,primary,no,--,success,no
blue-collar,single,secondary,no,--,success,yes
entrepreneur,single,secondary,no,--,success,no
management,single,tertiary,no,--,success,no
technician,married,tertiary,no,--,success,yes
technician,married,tertiary,no,--,success,no
technician,married,secondary,no,--,success,no
self-employed,married,unknown,no,H-,success,no
technician,married,secondary,no,--,success,no
services,married,secondary,no,--,success,yes
management,single,tertiary,no,--,failure,no
technician,married,tertiary,no,HP,failure,no
unemployed,married,secondary,no,--,failure,no
management,married,tertiary,no,--,success,no
unemployed,single,tertiary,no,--,success,no
self-employed,divorced,tertiary,no,--,success,no
services,married,unknown,no,--,success,yes
technician,single,tertiary,no,H-,success,no
blue-collar,single,secondary,no,--,failure,no
services,married,secondary,no,--,success,no
technician,single,tertiary,no,-P,failure,no
blue-collar,married,secondary,no,H-,failure,yes
management,married,tertiary,no,H-,success,no
admin.,single,secondary,no,HP,failure,no
technician,married,tertiary,no,--,failure,no
admin.,married,secondary,no,--,success,yes
student,single,secondary,no,--,success,no
services,married,secondary,no,--,failure,yes
technician,married,secondary,no,--,success,no
student,single,secondary,no,--,failure,no
technician,married,secondary,no,H-,failure,no
management,married,tertiary,no,--,success,yes
retired,married,primary,no,--,failure,yes
student,single,secondary,no,--,success,no
management,single,tertiary,no,HP,failure,no
admin.,married,secondary,no,--,success,no
management,married,tertiary,no,--,failure,no
technician,single,secondary,no,--,failure,yes
admin.,single,secondary,no,H-,failure,no
technician,married,secondary,no,--,success,no
self-employed,married,secondary,no,--,failure,no
admin.,married,tertiary,no,--,success,no
admin.,single,tertiary,no,--,success,no
technician,single,tertiary,no,H-,success,no
admin.,single,tertiary,no,--,success,no
retired,married,primary,no,--,success,yes
housemaid,divorced,secondary,no,--,failure,no
management,single,tertiary,no,H-,failure,no
management,single,tertiary,no,H-,success,yes
management,single,tertiary,no,--,success,no
management,married,tertiary,no,--,failure,no
blue-collar,married,secondary,no,--,failure,no
management,married,tertiary,no,--,success,yes
admin.,married,secondary,no,--,failure,no
retired,married,secondary,no,--,failure,no
unemployed,divorced,secondary,no,--,failure,no
retired,married,primary,no,--,failure,no
admin.,married,secondary,no,--,failure,no
unemployed,single,secondary,no,--,failure,no
unemployed,married,secondary,no,--,failure,no
admin.,single,secondary,no,--,success,yes
retired,married,tertiary,no,--,failure,no
self-employed,married,tertiary,no,--,failure,no
unemployed,married,secondary,no,--,success,yes
management,divorced,tertiary,no,--,success,no
technician,single,tertiary,no,H-,failure,no
management,married,tertiary,no,H-,failure,no
technician,divorced,secondary,no,H-,success,no
student,single,unknown,no,--,success,yes
retired,married,unknown,no,--,failure,yes
management,married,tertiary,no,H-,failure,yes
management,single,tertiary,no,--,failure,no
unemployed,single,tertiary,no,--,failure,yes
technician,single,secondary,no,H-,success,no
admin.,divorced,secondary,no,H-,failure,no
technician,married,secondary,no,--,success,no
technician,married,tertiary,no,H-,failure,no
technician,married,secondary,no,HP,failure,no
technician,married,tertiary,no,--,failure,no
admin.,married,primary,no,H-,success,yes
self-employed,single,unknown,no,--,failure,no
student,single,secondary,no,--,failure,no
technician,divorced,secondary,no,H-,success,no
management,single,tertiary,no,--,failure,yes
admin.,married,secondary,no,H-,failure,no
retired,married,unknown,no,--,failure,no
retired,married,secondary,no,--,success,yes
management,single,tertiary,no,H-,failure,yes
management,single,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
technician,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
student,single,secondary,no,--,failure,yes
student,single,secondary,no,--,failure,yes
management,divorced,tertiary,no,H-,failure,no
housemaid,married,tertiary,no,--,failure,yes
technician,married,secondary,no,-P,success,yes
technician,single,secondary,no,H-,failure,yes
housemaid,married,primary,no,--,failure,no
retired,married,tertiary,no,--,failure,no
admin.,married,secondary,no,--,success,yes
retired,married,secondary,no,--,success,no
technician,single,tertiary,no,H-,failure,yes
management,single,tertiary,no,--,success,yes
technician,single,tertiary,no,--,failure,no
management,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,success,yes
technician,single,tertiary,no,--,failure,yes
student,single,secondary,no,--,failure,no
student,single,secondary,no,--,failure,no
admin.,married,secondary,no,H-,success,yes
management,married,primary,no,H-,success,yes
admin.,married,secondary,no,--,success,yes
housemaid,divorced,secondary,no,--,failure,no
management,married,secondary,no,H-,failure,no
admin.,divorced,secondary,no,H-,success,yes
management,married,tertiary,no,--,failure,no
admin.,married,tertiary,no,--,failure,no
admin.,married,secondary,no,H-,failure,no
technician,married,secondary,no,--,success,yes
student,single,tertiary,no,--,failure,no
admin.,single,secondary,no,H-,success,yes
management,single,tertiary,no,--,failure,no
retired,divorced,tertiary,no,H-,success,yes
student,single,tertiary,no,H-,success,no
blue-collar,married,secondary,no,H-,success,yes
unemployed,married,secondary,no,--,success,yes
retired,married,tertiary,no,--,failure,no
management,single,tertiary,no,--,success,yes
retired,married,primary,no,--,success,no
technician,married,secondary,no,--,success,no
admin.,married,secondary,no,--,failure,no
housemaid,married,unknown,no,H-,failure,no
management,single,tertiary,no,H-,success,no
admin.,single,secondary,no,H-,failure,no
blue-collar,married,primary,no,H-,failure,yes
technician,married,tertiary,no,H-,success,yes
management,married,secondary,no,--,failure,no
student,single,unknown,no,--,failure,no
self-employed,married,tertiary,no,--,failure,no
management,married,tertiary,no,--,success,yes
services,married,secondary,no,--,success,yes
technician,married,secondary,no,H-,success,no
management,divorced,tertiary,no,H-,failure,no
services,married,secondary,no,H-,failure,no
technician,single,tertiary,no,H-,failure,no
student,single,secondary,no,--,success,no
management,single,tertiary,no,H-,failure,yes
technician,divorced,secondary,no,--,failure,no
student,single,primary,no,--,failure,no
management,divorced,unknown,no,--,failure,yes
blue-collar,single,secondary,no,H-,success,yes
technician,single,secondary,no,H-,failure,yes
technician,single,secondary,no,--,success,yes
technician,divorced,secondary,no,--,success,no
blue-collar,single,primary,no,H-,failure,no
admin.,married,secondary,no,--,failure,no
admin.,divorced,tertiary,no,HP,failure,no
technician,single,secondary,no,--,failure,no
admin.,married,secondary,no,H-,failure,no
management,married,tertiary,no,--,failure,no
technician,single,tertiary,no,--,failure,no
management,married,tertiary,no,H-,failure,no
management,single,tertiary,no,--,failure,no
technician,married,tertiary,no,H-,success,yes
admin.,divorced,secondary,no,--,failure,yes
management,single,tertiary,no,--,failure,yes
blue-collar,married,secondary,no,H-,failure,no
management,single,tertiary,no,--,failure,no
technician,single,tertiary,no,--,failure,no
self-employed,married,tertiary,no,--,failure,no
unemployed,single,tertiary,no,H-,failure,no
student,single,tertiary,no,--,failure,yes
management,married,tertiary,no,HP,success,yes
management,married,unknown,no,H-,success,yes
management,married,tertiary,no,H-,failure,no
blue-collar,married,secondary,no,H-,failure,yes
management,divorced,tertiary,no,H-,failure,no
management,single,tertiary,no,--,failure,yes
unemployed,married,tertiary,no,--,failure,no
blue-collar,married,primary,no,H-,failure,yes
management,divorced,unknown,no,--,success,no
management,married,tertiary,no,H-,success,yes
unemployed,married,unknown,no,H-,failure,no
management,divorced,tertiary,no,H-,success,yes
management,married,tertiary,no,--,failure,yes
technician,single,secondary,no,--,failure,no
technician,married,secondary,no,H-,success,yes
management,married,tertiary,no,H-,failure,no
admin.,married,secondary,no,H-,failure,no
management,married,tertiary,no,--,success,no
admin.,married,tertiary,no,--,success,yes
retired,married,tertiary,no,--,success,yes
technician,single,tertiary,no,--,failure,yes
admin.,single,secondary,no,HP,failure,no
management,married,tertiary,no,H-,failure,no
self-employed,single,tertiary,no,--,success,yes
management,married,tertiary,no,--,failure,no
admin.,single,tertiary,no,-P,success,no
